Name;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jane Bolander;A2;A2;A2;A2;A2;A2;A2;A2;A2;A2;A2;A2;A2;A1;A1;A1;A1;A1;A1;A1;A1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kent Damsgaard;TO2;TO2;TO2;TO2;TO2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Tu2;Tu2;E2;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ole Draborg;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jacob Ravn;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO1;TO1;Tr1;Tr1;Tr1;Tu1;Tu1;Tu1;Tu1;Tu1;Tu1;Tu1;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Niels Rasmussen;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;TO2;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steen Jørgensen;NA;NA;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;E1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Helle Adelborg (A);P;P;P;P;P;P;P;P;P;A1;A1;A1;A1;A1;A1;A1;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rasmus Gamst Beltofte (B);P;P;P;P;P;P;P;P;P;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hans Andersen (V);P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan Rix Rasmussen (A);Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;Ou2;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Svend Erik Nielsen (O);Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Svend Thorhauge (B);P;P;P;P;P;P;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;Or2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jan Kristoffersen (Å);Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;NA;NA;NA;NA;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Or2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Christen Amby;A2;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tommy V. Christiansen;Tr1;Tr1;Tr1;Tr1;Tr1;Tr1;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;Tr2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Louise Schack Elholm;P;P;P;P;P;P;P;P;P;P;P;P;P;Or1;Or1;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
